Pavarde          Vardas           ND1              ND2              ND3              ND4              ND5              Egz.             
Pavarde4579      Vardas4579       1                9                4                8                8                7                
Pavarde4580      Vardas4580       0                1                6                10               1                1                
Pavarde4581      Vardas4581       7                2                5                7                4                9                
Pavarde4582      Vardas4582       1                3                5                9                0                2                
Pavarde4583      Vardas4583       5                6                5                2                6                5                
Pavarde4584      Vardas4584       5                5                9                3                8                0                
Pavarde4585      Vardas4585       8                10               6                9                1                9                
Pavarde4586      Vardas4586       1                2                10               1                5                5                
Pavarde4587      Vardas4587       2                0                3                7                2                9                
Pavarde4588      Vardas4588       4                6                7                5                9                5                
Pavarde4589      Vardas4589       3                0                5                7                4                6                
Pavarde4590      Vardas4590       5                3                6                4                8                2                
Pavarde4591      Vardas4591       9                10               5                10               10               2                
Pavarde4592      Vardas4592       8                8                5                4                7                9                
Pavarde4593      Vardas4593       8                10               5                4                6                7                
Pavarde4594      Vardas4594       0                0                7                7                0                6                
Pavarde4595      Vardas4595       5                6                1                6                9                1                
Pavarde4596      Vardas4596       8                6                3                6                2                3                
Pavarde4597      Vardas4597       5                6                2                6                6                0                
Pavarde4598      Vardas4598       3                7                9                3                5                0                
Pavarde4599      Vardas4599       2                1                2                9                6                3                
Pavarde4600      Vardas4600       0                10               4                10               3                10               
Pavarde4601      Vardas4601       8                4                2                7                7                3                
Pavarde4602      Vardas4602       2                5                1                5                2                5                
Pavarde4603      Vardas4603       5                7                1                9                2                8                
Pavarde4604      Vardas4604       3                9                8                2                2                0                
Pavarde4605      Vardas4605       2                5                4                4                6                1                
Pavarde4606      Vardas4606       4                9                3                8                3                2                
Pavarde4607      Vardas4607       2                1                1                4                0                8                
Pavarde4608      Vardas4608       6                10               0                1                3                0                
Pavarde4609      Vardas4609       1                4                2                6                5                4                
Pavarde4610      Vardas4610       8                9                9                6                8                0                
Pavarde4611      Vardas4611       3                4                10               4                3                2                
Pavarde4612      Vardas4612       3                1                4                3                0                4                
Pavarde4613      Vardas4613       2                4                8                8                3                7                
Pavarde4614      Vardas4614       5                2                6                6                1                6                
Pavarde4615      Vardas4615       1                9                7                5                4                7                
Pavarde4616      Vardas4616       0                3                7                2                5                3                
Pavarde4617      Vardas4617       0                2                6                0                0                6                
Pavarde4618      Vardas4618       7                9                4                10               3                5                
Pavarde4619      Vardas4619       9                10               8                5                3                0                
Pavarde4620      Vardas4620       1                10               3                8                10               5                
Pavarde4621      Vardas4621       2                1                10               6                2                3                
Pavarde4622      Vardas4622       2                10               4                2                5                4                
Pavarde4623      Vardas4623       8                10               7                3                0                0                
Pavarde4624      Vardas4624       5                9                0                10               1                7                
Pavarde4625      Vardas4625       8                0                0                0                3                9                
Pavarde4626      Vardas4626       0                2                7                7                2                8                
Pavarde4627      Vardas4627       6                9                6                10               6                5                
Pavarde4628      Vardas4628       9                10               10               6                9                1                
Pavarde4629      Vardas4629       1                10               0                10               10               10               
Pavarde4630      Vardas4630       2                3                1                7                1                3                
Pavarde4631      Vardas4631       1                1                9                4                8                1                
Pavarde4632      Vardas4632       5                1                0                1                9                1                
Pavarde4633      Vardas4633       9                1                2                4                9                3                
Pavarde4634      Vardas4634       0                0                6                7                2                7                
Pavarde4635      Vardas4635       4                5                9                5                5                1                
Pavarde4636      Vardas4636       10               4                3                9                0                6                
Pavarde4637      Vardas4637       1                2                5                10               1                3                
Pavarde4638      Vardas4638       5                4                7                1                5                4                
Pavarde4639      Vardas4639       2                1                8                8                1                6                
Pavarde4640      Vardas4640       5                9                8                7                1                5                
Pavarde4641      Vardas4641       3                1                6                6                7                9                
Pavarde4642      Vardas4642       3                6                3                1                7                6                
Pavarde4643      Vardas4643       9                1                8                5                10               1                
Pavarde4644      Vardas4644       1                10               6                3                8                0                
Pavarde4645      Vardas4645       9                3                1                2                4                8                
Pavarde4646      Vardas4646       5                0                0                5                8                8                
Pavarde4647      Vardas4647       10               0                2                3                4                4                
Pavarde4648      Vardas4648       10               6                4                5                8                6                
Pavarde4649      Vardas4649       3                10               8                1                1                8                
Pavarde4650      Vardas4650       5                10               8                8                7                5                
Pavarde4651      Vardas4651       2                5                8                5                6                7                
Pavarde4652      Vardas4652       6                7                3                10               3                7                
Pavarde4653      Vardas4653       3                1                6                5                7                0                
Pavarde4654      Vardas4654       9                6                3                0                8                10               
Pavarde4655      Vardas4655       10               3                7                3                8                3                
Pavarde4656      Vardas4656       1                4                9                9                7                6                
Pavarde4657      Vardas4657       9                2                4                4                2                2                
Pavarde4658      Vardas4658       2                8                5                3                3                8                
Pavarde4659      Vardas4659       6                10               0                10               0                7                
Pavarde4660      Vardas4660       0                6                7                6                9                4                
Pavarde4661      Vardas4661       1                5                10               1                7                2                
Pavarde4662      Vardas4662       9                10               2                2                3                6                
Pavarde4663      Vardas4663       0                10               6                7                3                8                
Pavarde4664      Vardas4664       3                4                7                7                7                9                
Pavarde4665      Vardas4665       3                0                6                2                9                2                
Pavarde4666      Vardas4666       6                3                1                6                2                6                
Pavarde4667      Vardas4667       10               2                10               7                0                10               
Pavarde4668      Vardas4668       9                7                6                5                8                7                
Pavarde4669      Vardas4669       10               1                5                2                0                2                
Pavarde4670      Vardas4670       8                6                8                1                3                4                
Pavarde4671      Vardas4671       4                2                1                4                6                8                
Pavarde4672      Vardas4672       4                0                1                1                6                4                
Pavarde4673      Vardas4673       2                2                9                4                0                7                
Pavarde4674      Vardas4674       3                1                10               10               10               0                
Pavarde4675      Vardas4675       7                9                3                7                6                9                
Pavarde4676      Vardas4676       4                5                5                2                2                10               
Pavarde4677      Vardas4677       1                8                3                4                1                10               
Pavarde4678      Vardas4678       3                5                4                9                9                4                
Pavarde4679      Vardas4679       3                6                6                4                10               6                
Pavarde4680      Vardas4680       2                10               1                1                7                10               
Pavarde4681      Vardas4681       10               8                3                1                3                8                
Pavarde4682      Vardas4682       1                5                0                4                5                4                
Pavarde4683      Vardas4683       0                8                8                8                10               4                
Pavarde4684      Vardas4684       7                8                1                7                0                2                
Pavarde4685      Vardas4685       9                3                7                2                9                8                
Pavarde4686      Vardas4686       6                7                6                7                4                8                
Pavarde4687      Vardas4687       5                1                3                6                4                4                
Pavarde4688      Vardas4688       6                2                8                5                2                6                
Pavarde4689      Vardas4689       10               5                7                3                10               8                
Pavarde4690      Vardas4690       0                9                10               1                8                9                
Pavarde4691      Vardas4691       10               2                1                0                8                7                
Pavarde4692      Vardas4692       1                4                8                7                0                9                
Pavarde4693      Vardas4693       10               3                1                6                0                7                
Pavarde4694      Vardas4694       4                2                2                1                7                1                
Pavarde4695      Vardas4695       8                10               10               3                5                9                
Pavarde4696      Vardas4696       5                3                1                1                3                5                
Pavarde4697      Vardas4697       8                2                5                7                1                3                
Pavarde4698      Vardas4698       7                1                2                2                8                9                
Pavarde4699      Vardas4699       5                10               6                2                4                9                
Pavarde4700      Vardas4700       9                2                6                7                0                2                
Pavarde4701      Vardas4701       0                4                5                9                0                1                
Pavarde4702      Vardas4702       0                2                6                3                1                8                
Pavarde4703      Vardas4703       8                2                7                2                3                5                
Pavarde4704      Vardas4704       10               9                9                4                3                9                
Pavarde4705      Vardas4705       6                4                2                0                7                8                
Pavarde4706      Vardas4706       7                6                6                1                7                2                
Pavarde4707      Vardas4707       8                8                2                3                8                9                
Pavarde4708      Vardas4708       10               3                2                8                1                1                
Pavarde4709      Vardas4709       2                0                2                4                4                6                
Pavarde4710      Vardas4710       10               9                8                6                8                6                
Pavarde4711      Vardas4711       8                5                1                3                9                7                
Pavarde4712      Vardas4712       7                8                3                7                7                7                
Pavarde4713      Vardas4713       5                6                4                10               9                8                
Pavarde4714      Vardas4714       2                9                6                8                9                5                
Pavarde4715      Vardas4715       2                4                9                9                7                3                
Pavarde4716      Vardas4716       3                7                4                2                4                6                
Pavarde4717      Vardas4717       4                3                2                4                6                6                
Pavarde4718      Vardas4718       3                10               0                2                6                4                
Pavarde4719      Vardas4719       9                5                4                6                7                2                
Pavarde4720      Vardas4720       5                9                1                8                3                7                
Pavarde4721      Vardas4721       7                0                9                4                7                10               
Pavarde4722      Vardas4722       10               6                3                10               9                7                
Pavarde4723      Vardas4723       6                1                10               10               0                1                
Pavarde4724      Vardas4724       6                2                0                5                7                4                
Pavarde4725      Vardas4725       7                1                4                9                8                2                
Pavarde4726      Vardas4726       5                3                1                0                2                9                
Pavarde4727      Vardas4727       7                7                8                5                8                7                
Pavarde4728      Vardas4728       3                7                8                7                1                4                
Pavarde4729      Vardas4729       9                6                6                9                8                6                
Pavarde4730      Vardas4730       1                7                2                8                10               4                
Pavarde4731      Vardas4731       10               8                9                5                5                6                
Pavarde4732      Vardas4732       4                3                10               2                0                6                
Pavarde4733      Vardas4733       1                3                1                2                7                4                
Pavarde4734      Vardas4734       10               9                0                8                8                8                
Pavarde4735      Vardas4735       6                10               1                0                10               4                
Pavarde4736      Vardas4736       4                0                0                4                6                3                
Pavarde4737      Vardas4737       6                7                0                8                9                2                
Pavarde4738      Vardas4738       10               7                0                5                10               5                
Pavarde4739      Vardas4739       1                7                10               9                2                6                
Pavarde4740      Vardas4740       10               2                2                2                4                7                
Pavarde4741      Vardas4741       0                0                2                9                5                7                
Pavarde4742      Vardas4742       9                0                6                4                1                10               
Pavarde4743      Vardas4743       6                10               4                9                4                8                
Pavarde4744      Vardas4744       2                5                1                10               9                10               
Pavarde4745      Vardas4745       1                0                4                5                7                2                
Pavarde4746      Vardas4746       3                3                4                7                6                6                
Pavarde4747      Vardas4747       8                5                8                10               5                3                
Pavarde4748      Vardas4748       2                1                9                1                5                2                
Pavarde4749      Vardas4749       1                3                5                8                10               5                
Pavarde4750      Vardas4750       2                2                1                7                9                8                
Pavarde4751      Vardas4751       0                3                7                7                9                0                
Pavarde4752      Vardas4752       7                4                8                10               6                3                
Pavarde4753      Vardas4753       1                10               2                10               1                6                
Pavarde4754      Vardas4754       2                2                7                3                0                3                
Pavarde4755      Vardas4755       1                7                8                4                3                10               
Pavarde4756      Vardas4756       5                4                8                10               7                6                
Pavarde4757      Vardas4757       6                7                9                4                7                8                
Pavarde4758      Vardas4758       3                5                10               10               5                1                
Pavarde4759      Vardas4759       9                5                6                8                2                10               
Pavarde4760      Vardas4760       8                9                2                1                0                5                
Pavarde4761      Vardas4761       5                3                0                0                3                2                
Pavarde4762      Vardas4762       0                9                8                0                1                10               
Pavarde4763      Vardas4763       7                7                0                1                10               6                
Pavarde4764      Vardas4764       1                4                9                6                6                8                
Pavarde4765      Vardas4765       8                0                5                8                0                10               
Pavarde4766      Vardas4766       6                5                1                10               7                10               
Pavarde4767      Vardas4767       7                1                9                5                3                4                
Pavarde4768      Vardas4768       5                1                3                0                9                9                
Pavarde4769      Vardas4769       0                9                5                4                10               7                
Pavarde4770      Vardas4770       10               4                1                1                0                8                
Pavarde4771      Vardas4771       9                6                0                6                4                9                
Pavarde4772      Vardas4772       10               1                10               6                9                5                
Pavarde4773      Vardas4773       6                0                6                7                2                4                
Pavarde4774      Vardas4774       8                4                10               8                4                5                
Pavarde4775      Vardas4775       3                2                7                5                6                0                
Pavarde4776      Vardas4776       5                5                0                7                7                2                
Pavarde4777      Vardas4777       5                0                0                9                0                3                
Pavarde4778      Vardas4778       1                1                0                9                9                8                
Pavarde4779      Vardas4779       5                6                7                5                8                2                
Pavarde4780      Vardas4780       1                4                3                7                7                6                
Pavarde4781      Vardas4781       3                10               4                9                10               3                
Pavarde4782      Vardas4782       1                6                9                2                4                5                
Pavarde4783      Vardas4783       8                9                3                7                5                5                
Pavarde4784      Vardas4784       9                4                1                0                6                1                
Pavarde4785      Vardas4785       9                7                4                5                6                2                
Pavarde4786      Vardas4786       6                7                0                1                7                6                
Pavarde4787      Vardas4787       6                2                8                1                10               8                
Pavarde4788      Vardas4788       1                5                8                7                2                4                
Pavarde4789      Vardas4789       8                10               2                9                7                2                
Pavarde4790      Vardas4790       4                1                7                8                6                7                
Pavarde4791      Vardas4791       8                10               4                4                4                9                
Pavarde4792      Vardas4792       10               10               7                8                1                6                
Pavarde4793      Vardas4793       10               2                6                3                10               10               
Pavarde4794      Vardas4794       8                7                2                4                3                4                
Pavarde4795      Vardas4795       6                1                0                9                8                9                
Pavarde4796      Vardas4796       4                7                2                7                7                0                
Pavarde4797      Vardas4797       7                9                2                8                6                4                
Pavarde4798      Vardas4798       3                4                6                10               9                8                
Pavarde4799      Vardas4799       4                8                6                3                10               4                
Pavarde4800      Vardas4800       6                5                8                1                4                2                
Pavarde4801      Vardas4801       4                0                0                5                9                5                
Pavarde4802      Vardas4802       2                4                10               9                9                5                
Pavarde4803      Vardas4803       9                4                10               3                4                0                
Pavarde4804      Vardas4804       4                3                5                0                5                6                
Pavarde4805      Vardas4805       8                0                5                5                1                8                
Pavarde4806      Vardas4806       2                8                4                4                2                10               
Pavarde4807      Vardas4807       3                5                8                0                7                7                
Pavarde4808      Vardas4808       7                2                9                7                1                2                
Pavarde4809      Vardas4809       7                2                0                10               8                6                
Pavarde4810      Vardas4810       10               5                4                3                5                1                
Pavarde4811      Vardas4811       1                0                2                6                3                9                
Pavarde4812      Vardas4812       10               5                2                6                10               7                
Pavarde4813      Vardas4813       5                7                2                5                7                4                
Pavarde4814      Vardas4814       3                0                5                6                0                4                
Pavarde4815      Vardas4815       0                10               7                8                0                3                
Pavarde4816      Vardas4816       8                9                0                3                2                4                
Pavarde4817      Vardas4817       7                0                9                0                5                7                
Pavarde4818      Vardas4818       4                3                6                0                2                6                
Pavarde4819      Vardas4819       3                0                6                8                5                5                
Pavarde4820      Vardas4820       4                10               4                8                4                3                
Pavarde4821      Vardas4821       7                6                10               8                8                2                
Pavarde4822      Vardas4822       1                8                5                5                0                0                
Pavarde4823      Vardas4823       3                2                6                9                7                1                
Pavarde4824      Vardas4824       0                3                0                3                1                6                
Pavarde4825      Vardas4825       1                7                3                2                1                1                
Pavarde4826      Vardas4826       6                1                1                8                10               3                
Pavarde4827      Vardas4827       10               9                4                1                5                7                
Pavarde4828      Vardas4828       0                6                10               0                2                3                
Pavarde4829      Vardas4829       3                8                5                10               4                7                
Pavarde4830      Vardas4830       3                6                4                3                7                10               
Pavarde4831      Vardas4831       4                4                10               3                7                2                
Pavarde4832      Vardas4832       4                10               10               5                9                4                
Pavarde4833      Vardas4833       2                8                10               6                10               1                
Pavarde4834      Vardas4834       8                10               10               9                6                7                
Pavarde4835      Vardas4835       1                5                1                0                4                6                
Pavarde4836      Vardas4836       7                10               2                3                7                1                
Pavarde4837      Vardas4837       7                2                1                3                1                10               
Pavarde4838      Vardas4838       10               3                8                1                10               4                
Pavarde4839      Vardas4839       2                8                8                9                6                1                
Pavarde4840      Vardas4840       4                0                3                6                9                5                
Pavarde4841      Vardas4841       5                6                10               10               1                0                
Pavarde4842      Vardas4842       7                8                10               9                7                9                
Pavarde4843      Vardas4843       9                1                4                10               3                3                
Pavarde4844      Vardas4844       4                8                5                9                8                4                
Pavarde4845      Vardas4845       9                0                10               1                10               3                
Pavarde4846      Vardas4846       5                3                1                0                9                0                
Pavarde4847      Vardas4847       5                10               0                8                1                0                
Pavarde4848      Vardas4848       0                4                0                6                9                1                
Pavarde4849      Vardas4849       3                2                3                1                3                5                
Pavarde4850      Vardas4850       0                0                4                10               8                10               
Pavarde4851      Vardas4851       4                2                10               1                2                8                
Pavarde4852      Vardas4852       8                1                6                7                4                3                
Pavarde4853      Vardas4853       3                7                6                7                6                9                
Pavarde4854      Vardas4854       9                2                2                7                9                9                
Pavarde4855      Vardas4855       9                1                1                4                2                10               
Pavarde4856      Vardas4856       1                7                4                0                5                7                
Pavarde4857      Vardas4857       5                2                0                7                9                7                
Pavarde4858      Vardas4858       0                4                8                4                1                10               
Pavarde4859      Vardas4859       10               3                8                4                1                10               
Pavarde4860      Vardas4860       3                5                10               5                3                10               
Pavarde4861      Vardas4861       3                3                7                3                9                3                
Pavarde4862      Vardas4862       10               5                6                10               0                6                
Pavarde4863      Vardas4863       1                0                5                3                3                5                
Pavarde4864      Vardas4864       9                8                2                10               1                9                
Pavarde4865      Vardas4865       9                4                4                3                2                8                
Pavarde4866      Vardas4866       0                4                3                10               3                6                
Pavarde4867      Vardas4867       7                3                4                7                4                0                
Pavarde4868      Vardas4868       1                4                4                9                9                9                
Pavarde4869      Vardas4869       1                4                9                7                4                10               
Pavarde4870      Vardas4870       5                10               9                2                5                4                
Pavarde4871      Vardas4871       0                5                5                8                5                3                
Pavarde4872      Vardas4872       7                5                2                2                8                0                
Pavarde4873      Vardas4873       0                5                5                5                0                2                
Pavarde4874      Vardas4874       5                1                7                3                1                6                
Pavarde4875      Vardas4875       1                3                1                3                5                2                
Pavarde4876      Vardas4876       3                9                7                3                0                8                
Pavarde4877      Vardas4877       10               3                8                8                9                4                
Pavarde4878      Vardas4878       9                7                10               5                4                4                
Pavarde4879      Vardas4879       0                5                9                9                9                1                
Pavarde4880      Vardas4880       6                10               7                3                5                6                
Pavarde4881      Vardas4881       7                5                1                2                6                6                
Pavarde4882      Vardas4882       10               3                5                0                10               8                
Pavarde4883      Vardas4883       4                1                7                8                6                6                
Pavarde4884      Vardas4884       1                7                4                7                0                1                
Pavarde4885      Vardas4885       1                9                4                0                3                10               
Pavarde4886      Vardas4886       9                4                2                6                6                7                
Pavarde4887      Vardas4887       4                7                5                6                4                1                
Pavarde4888      Vardas4888       3                7                8                7                9                5                
Pavarde4889      Vardas4889       10               4                7                1                9                8                
Pavarde4890      Vardas4890       2                1                10               1                1                5                
Pavarde4891      Vardas4891       5                2                7                4                3                1                
Pavarde4892      Vardas4892       10               9                2                6                7                9                
Pavarde4893      Vardas4893       2                5                1                7                0                2                
Pavarde4894      Vardas4894       4                1                10               5                5                5                
Pavarde4895      Vardas4895       5                5                6                0                5                3                
Pavarde4896      Vardas4896       1                8                0                8                2                7                
Pavarde4897      Vardas4897       1                4                7                5                3                3                
Pavarde4898      Vardas4898       8                2                7                0                3                1                
Pavarde4899      Vardas4899       6                5                0                2                9                0                
Pavarde4900      Vardas4900       3                8                5                5                3                1                
Pavarde4901      Vardas4901       3                0                8                7                10               2                
Pavarde4902      Vardas4902       6                0                6                6                0                10               
Pavarde4903      Vardas4903       9                6                0                3                4                7                
Pavarde4904      Vardas4904       2                8                2                3                4                1                
Pavarde4905      Vardas4905       9                2                7                9                6                2                
